ID,filename,band_abbrev,abbrev_type,date_format,date_parsed,mics_etc
8e114ecc08456df04112149ae01c599da9220aca,gd80-12-14d1t01.flac,gd,canonical,yy-mm-dd,1980-12-14 00:00:00,d1t01
90750f6b2686e9f7f55b89078ea818fe917dc3fb,gd80-12-14d1t01.flac,gd,canonical,yy-mm-dd,1980-12-14 00:00:00,d1t01
1a048ca33254ba311b8d2fe507283b2a862a0feb,raccoon2016-07-09s01t01.flac,raccoon,assigned,yyyy-mm-dd,2016-07-09 00:00:00,s01t01
db10c2779ecc219fc389d7a316d741cbca199bdf,gd85-07-01oade-d1t01.flac,gd,canonical,yy-mm-dd,1985-07-01 00:00:00,oade-d1t01
c5b894e28dc2b77f9653a9550eaacda839c2ed43,gd80-12-26d1t01.shn,gd,canonical,yy-mm-dd,1980-12-26 00:00:00,d1t01
991b7e06d01b1d55d0dae6965719fb4a21a6d0c6,gd80-12-26d1t01.flac,gd,canonical,yy-mm-dd,1980-12-26 00:00:00,d1t01
e0ebb4678c72816bdcd690e00210885d5b2be043,jlyys.2016-06-02.matrix.flac16.t01.flac,jlyys,assigned,yyyy-mm-dd,2016-06-02 00:00:00,.matrix.flac16.t01
8f71073ff291fa22657e549bbdff1363ec350a32,lrb.2016-04-16.matrix.flac16.t01.flac,lrb,assigned,yyyy-mm-dd,2016-04-16 00:00:00,.matrix.flac16.t01
8cc79a065ad58d15c2a1714f3cfafa0e78598083,gd80-12-28d1t01.shn,gd,canonical,yy-mm-dd,1980-12-28 00:00:00,d1t01
6fb667c4dedf80bdb7417c9e4ccdf097baa47f34,1971-07-04CCRFillmoreImproved01.flac,,blank,yyyy-mm-dd,1971-07-04 00:00:00,CCRFillmoreImproved01
10725b9a103f08eef43d37d53462c9d794bc9112,ny96-3-21d1t01.flac,ny,assigned,otros,,
ebbc827e4904f696a7dadbb86e6508296b8e8149,gd80-12-30d1t01.shn,gd,canonical,yy-mm-dd,1980-12-30 00:00:00,d1t01
aeb17578b25743ba65732f098c4bbde338728ce3,gd80-12-30snchk1.flac,gd,canonical,yy-mm-dd,1980-12-30 00:00:00,snchk1
ddaac85822bb97fcf592e8b17d3f294cd6b34895,jgms1974.11.27.GEMS.d1t01.flac,jgms,assigned,yyyy-mm-dd,1974-11-27 00:00:00,.GEMS.d1t01
6d8058dd7686c16e17e9c9f7bfb7d84439611051,gd93-01-24d1t01.shn,gd,canonical,yy-mm-dd,1993-01-24 00:00:00,d1t01
98f59d64351a0d332ada8dc5420721947cfc1a90,JohnnyWinter1991-02-11.akg451.ssb.t01 Hideaway.flac,johnnywinter,assigned,yyyy-mm-dd,1991-02-11 00:00:00,.akg451.ssb.t01 Hideaway
e13739ae8205c646ab8e3c6f886a840a8b185dae,01 - Dazed And Confused.flac,,blank,otros,,
cd0b817719d31d7367f999fe5ffd266d315e1601,01_marathon.flac,,blank,otros,,
f6fc13dac0a84866d8955464e56a92a93589ada8,jgms-74-11-27.GEMS.d1t01.flac,jgms,assigned,yy-mm-dd,1974-11-27 00:00:00,.GEMS.d1t01
0e2e07a292e25fbab0aa19275ee4afe10d0b311f,jg&ms74-11-28d1t102.shn,jg&ms,assigned,yy-mm-dd,1974-11-28 00:00:00,d1t102
27bde4e56b5da5518017b2394607a0f039b0e0b9,gd93-01-25d1t02.shn,gd,canonical,yy-mm-dd,1993-01-25 00:00:00,d1t02
07d11b7e2b5972cba3ed93a8f7d3e3533353e5d8,gd93-01-26d3t05.shn,gd,canonical,yy-mm-dd,1993-01-26 00:00:00,d3t05
86ebc35fcf949e6600add2f20cb8433601ba575b,gd84-07-15s1t01.flac,gd,canonical,yy-mm-dd,1984-07-15 00:00:00,s1t01
9b4be863e41794fa7a27e092214bf7f8705e5e05,Zero1993-09-23t01.aud,zero,canonical,yyyy-mm-dd,1993-09-23 00:00:00,t01
0315569d716da95c4950d9bce8f753c6e9e719fb,jg-ms1974-11-28-d1t01.flac,jg-ms,assigned,yyyy-mm-dd,1974-11-28 00:00:00,-d1t01
44befd58aa1dc22df43173f16b56316a97859024,jg1974-12-07.gs.aud.castelli.menke.motb.d1t01.flac,jg,variant,yyyy-mm-dd,1974-12-07 00:00:00,.gs.aud.castelli.menke.motb.d1t01
9273a1b22e0f383f99b87abbcc93a52bb6a44675,gd93-01-26s1t01.flac,gd,canonical,yy-mm-dd,1993-01-26 00:00:00,s1t01
5a8178ddd9a87e682acde97ba259a33363fd26ec,jgms74-12-28d1t03.shn,jgms,assigned,yy-mm-dd,1974-12-28 00:00:00,d1t03
52677374ccbd20cc35dbce25ac5b7018e9a8af0a,d1t01.flac,d,notband,otros,,
98edd8b7a6b6f51ab559544b9546bccd532c473f,gd93-02-10t01.shn,gd,canonical,yy-mm-dd,1993-02-10 00:00:00,t01
e059e8d39da4b75145b1e434b0569df9c8f59367,d1t01.The Ramones-Durango 95.flac,d,notband,otros,,
edf25ec0ac4fd08874c7627bc527420091ef1747,sl01_intro.flac,sl,variant,otros,,
84c77f92a8f02a0d5f29113b3eda962ca5716937,02 Let It Rock.flac,,blank,otros,,
